,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Smithfield North,5,3,0,1,6,11,10,11,14,23,28,30,30,29,30,28,28,29,27
Parnell Square North,16,16,14,12,17,14,12,13,13,12,11,7,5,4,5,6,7,7,8
Pearse Street,27,22,22,18,14,16,18,11,10,10,9,8,7,7,8,10,6,6,3
Excise Walk,32,31,30,29,33,39,38,39,39,37,38,38,37,37,30,29,24,26,26
Fitzwilliam Square West,7,8,7,12,13,15,16,15,15,16,15,16,15,15,15,14,14,16,18
St. James Hospital (Central),14,12,9,9,8,7,7,7,7,7,7,8,8,7,7,6,6,6,6
Hanover Quay,0,3,1,4,15,12,7,7,13,15,9,10,5,3,0,1,0,0,0
Oliver Bond Street,4,4,0,1,3,7,10,10,8,9,8,9,9,6,10,8,9,9,8
Collins Barracks Museum,0,0,2,2,0,4,7,6,7,6,6,4,4,6,7,8,9,14,14
Brookfield Road,1,0,1,0,3,3,5,11,12,12,11,12,12,12,10,11,10,10,9
Clonmel Street,7,4,1,1,2,4,3,6,6,7,7,7,8,5,5,8,8,13,13
Mount Street Lower,16,13,6,6,2,4,9,6,8,9,11,12,9,3,4,1,1,0,0
Christchurch Place,15,20,16,13,13,14,14,11,8,7,10,12,12,9,11,12,11,11,19
Grantham Street,9,3,6,3,8,7,12,13,12,19,23,28,25,20,15,19,21,19,20
York Street East,29,28,27,31,32,30,30,28,27,22,19,23,26,30,31,31,31,28,30
Portobello Road,2,2,0,5,10,13,15,18,12,14,12,12,11,10,12,13,14,15,18
Parnell Street,17,19,19,20,19,19,20,16,15,16,19,16,19,12,12,9,11,8,7
Frederick Street South,28,29,28,29,26,25,22,19,22,22,23,23,22,22,22,22,22,21,20
Fownes Street Upper,19,22,29,29,12,6,4,2,4,15,19,16,11,22,29,29,30,24,27
Clarendon Row,27,26,28,31,31,27,24,16,17,18,19,26,30,31,31,30,28,24,21
Custom House,27,26,30,27,24,30,30,30,29,30,30,30,27,27,26,24,25,25,25
Benson Street,1,2,2,1,8,1,2,2,2,2,0,0,0,5,3,3,3,4,4
Fenian Street,0,0,2,3,3,4,4,5,4,5,5,6,11,14,11,9,8,12,11
South Dock Road,24,21,23,30,30,28,30,29,29,25,23,17,17,17,14,16,17,20,20
The Point,12,12,9,9,7,9,12,9,12,17,22,22,22,22,24,22,20,16,15
Lime Street,3,4,4,2,2,0,0,2,4,6,10,9,7,7,6,6,6,5,5
Kilmainham Gaol,0,0,0,4,2,2,0,0,1,2,3,3,2,3,0,3,3,3,4
Guild Street,12,11,8,4,5,9,13,21,27,24,22,24,24,22,23,23,25,29,32
Herbert Place,13,6,7,4,5,1,4,3,4,3,0,0,1,0,0,2,0,4,2
